date,home_team,home_score,away_team,away_score,attendance,game_id_url,game_id,playoff_game,home_team_rank,away_team_rank
10/05/2024,Fayetteville St.,27,Bowie St. Bulldogs,24,"1,920",/contests/5366246/box_score,5366246,0,NA,NA
10/05/2024,Shaw,35,Bluefield St. Big Blue,17,429,/contests/5366247/box_score,5366247,0,NA,NA
10/05/2024,Southwest Minn. St.,0,"Neb.-Kearney Antelopes, Lopers",35,"1,504",/contests/5366250/box_score,5366250,0,NA,NA
10/05/2024,Frostburg St. Bobcats,49,West Va. Wesleyan,16,"1,044",/contests/5366252/box_score,5366252,0,NA,NA
10/05/2024,St. Anselm,56,Post Eagles,28,797,/contests/5366254/box_score,5366254,0,NA,NA
10/05/2024,West Liberty,31,Concord Mountain Lions,10,479,/contests/5366277/box_score,5366277,0,NA,NA
10/05/2024,William Jewell,20,UIndy Greyhounds,23,"1,476",/contests/5366279/box_score,5366279,0,NA,NA
10/05/2024,Indiana  Crimson Hawks,32,Slippery Rock,33,"6,240",/contests/5366287/box_score,5366287,0,NA,NA
10/05/2024,Southern Conn. St.,28,Assumption Greyhounds,35,"2,010",/contests/5366289/box_score,5366289,0,NA,NA
10/05/2024,Pittsburg St.,31,Missouri Western Griffons,20,"8,498",/contests/5366294/box_score,5366294,0,NA,NA
10/05/2024,Clark Atlanta Panthers,28,Savannah St.,35,"1,436",/contests/5366297/box_score,5366297,0,NA,NA
10/06/2024,Catawba,44,Anderson  Trojans,41,"1,205",/contests/5366301/box_score,5366301,0,NA,NA
10/05/2024,Minnesota St. Mavericks,36,Sioux Falls,40,"7,105",/contests/5366303/box_score,5366303,0,NA,NA
10/05/2024,Clarion,27,California  Vulcans,31,"1,541",/contests/5366307/box_score,5366307,0,NA,NA
10/05/2024,Kentucky St. Thorobreds,24,Lane,20,"2,219",/contests/5366308/box_score,5366308,0,NA,NA
10/05/2024,Ferris St. Bulldogs,55,Roosevelt,13,"5,712",/contests/5366309/box_score,5366309,0,NA,NA
10/05/2024,CSU Pueblo ThunderWolves,67,N.M. Highlands,28,"6,221",/contests/5366310/box_score,5366310,0,NA,NA
10/05/2024,Johnson C. Smith Golden Bulls,21,Virginia St.,17,"3,423",/contests/5366311/box_score,5366311,0,NA,NA
10/05/2024,Western N.M. Mustangs,10,Western Ore.,34,800,/contests/5366312/box_score,5366312,0,NA,NA
10/05/2024,Mary,13,Concordia-St. Paul Golden Bears,19,"2,812",/contests/5366313/box_score,5366313,0,NA,NA
10/05/2024,Lincoln  Blue Tigers,40,Lincoln (CA),14,"4,124",/contests/5366314/box_score,5366314,0,NA,NA
10/05/2024,Emporia St. Hornets,48,Northeastern St.,14,"5,338",/contests/5366315/box_score,5366315,0,NA,NA
10/05/2024,Mo. Southern St.,24,Central Okla. Bronchos,59,"1,938",/contests/5366316/box_score,5366316,0,NA,NA
10/05/2024,Southeastern Okla.,9,Ouachita Baptist Tigers,25,"2,543",/contests/5366319/box_score,5366319,0,NA,NA
10/05/2024,Southwestern Okla.,3,Harding Bisons,57,905,/contests/5366321/box_score,5366321,0,NA,NA
10/05/2024,Fairmont St. Falcons,34,West Virginia St.,45,"1,506",/contests/5366331/box_score,5366331,0,NA,NA
10/05/2024,Northern St.,14,Bemidji St. Beavers,13,"6,888",/contests/5366332/box_score,5366332,0,NA,NA
10/05/2024,Southern Ark. Muleriders,49,Southern Nazarene,21,"4,260",/contests/5366334/box_score,5366334,0,NA,NA
10/05/2024,McKendree Bearcats,10,Quincy,34,"3,156",/contests/5366336/box_score,5366336,0,NA,NA
10/05/2024,Washburn,34,Northwest Mo. St. Bearcats,51,"5,875",/contests/5366338/box_score,5366338,0,NA,NA
10/05/2024,Northwestern Okla.,21,Arkansas Tech Wonder Boys,44,"4,130",/contests/5366340/box_score,5366340,0,NA,NA
10/05/2024,East Central,42,Ark.-Monticello Boll Weevils,17,"3,278",/contests/5366341/box_score,5366341,0,NA,NA
10/05/2024,Benedict Tigers,21,North Greenville,38,"5,000",/contests/5366343/box_score,5366343,0,NA,NA
10/05/2024,Edward Waters Tigers,14,Fort Valley St.,48,650,/contests/5366347/box_score,5366347,0,NA,NA
10/05/2024,Tiffin,51,Thomas More Saints,10,"2,350",/contests/5366351/box_score,5366351,0,NA,NA
10/05/2024,Livingstone,23,Elizabeth City St. Vikings,17,"1,879",/contests/5366352/box_score,5366352,0,NA,NA
10/05/2024,Miles,16,Central St.  Marauders,7,"6,278",/contests/5366356/box_score,5366356,0,NA,NA
10/05/2024,West Florida,31,Mississippi Col. Choctaws,0,"2,689",/contests/5366357/box_score,5366357,0,NA,NA
10/05/2024,South Dakota Mines,20,Black Hills St. Yellow Jackets,22,"4,721",/contests/5366361/box_score,5366361,0,NA,NA
10/05/2024,Eastern N.M.,28,Central Wash. Wildcats,44,"3,544",/contests/5366362/box_score,5366362,0,NA,NA
10/05/2024,Missouri S&T Miners,65,Southwest Baptist,24,"2,446",/contests/5366365/box_score,5366365,0,NA,NA
10/05/2024,Delta St.,54,Chowan Hawks,9,"1,347",/contests/5366366/box_score,5366366,0,NA,NA
10/05/2024,Tex. Permian Basin,7,Angelo St. Rams,36,"5,629",/contests/5366367/box_score,5366367,0,NA,NA
10/05/2024,Western Colo.,44,Fort Lewis Skyhawks,7,"1,933",/contests/5366372/box_score,5366372,0,NA,NA
10/05/2024,Upper Iowa,23,Truman St. Bulldogs,26,"1,765",/contests/5366375/box_score,5366375,0,NA,NA
10/05/2024,Fort Hays St.,31,Central Mo. Mules,21,"7,135",/contests/5366383/box_score,5366383,0,NA,NA
10/05/2024,Tex. A&M-Kingsville,40,Midwestern St. Mustangs,13,"4,400",/contests/5366386/box_score,5366386,0,NA,NA
10/05/2024,Allen,17,Albany St.  Golden Rams,57,523,/contests/5366387/box_score,5366387,0,NA,NA
10/10/2024,Okla. Baptist Bison,10,Southern Ark.,65,"1,715",/contests/5366390/box_score,5366390,0,NA,NA
